run_id,subject,chinFirst,chin,trial_index,option_topLeft,option_bottomLeft,option_topRight,option_bottomRight,window_width,window_height,window_width_max,window_height_max,window_diagonal,window_diagonal_max,time_elapsed,trial_duration_exact,recorded_at,rt,key_press,fps,LL_top,aLL,aSS,tSS,tLL,choseTop,choseLL,choiceNr,optionIndex,attributeIndex,trans_type_0,trans_type_1,trans_type_2,trans_type_3,trans_type_4,trans_type_6,trans_type_7,payneIndex,k,age,gender,ethnic,degree
16,473,1,1.0,259,4.5,3.0,180.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,633117,2138,2020-11-19 15:31:52,2077.8950000094487,90.0,17.305893358278766,1,4.5,3.0,0,180.0,1.0,1,38.0,-0.6470588235294118,-0.17647058823529413,14,1,1,1,0,0,0,0.0,0.002777777777777778,1995,male,caucasian,college
16,473,1,1.0,262,4.0,1.5,180.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,638268,2101,2020-11-19 15:31:52,2096.3099999935366,90.0,17.610661589719182,1,4.0,1.5,0,180.0,1.0,1,39.0,0.047619047619047616,0.6190476190476191,14,1,1,4,1,0,0,-0.3333333333333333,0.009259259259259259,1995,male,caucasian,college
16,473,1,1.0,265,1.5,4.5,0.0,365.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,644599,3259,2020-11-19 15:31:52,3256.265000003623,66.0,11.660018410555384,0,4.5,1.5,0,365.0,0.0,0,40.0,0.2631578947368421,-0.15789473684210525,16,0,0,1,0,0,2,-1.0,0.005479452054794521,1995,male,caucasian,college
16,473,1,1.0,268,5.0,4.0,365.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,649477,1797,2020-11-19 15:31:52,1793.0750000086844,90.0,11.129660545353367,1,5.0,4.0,0,365.0,1.0,1,41.0,0.0,0.3333333333333333,9,0,1,2,0,0,0,-1.0,0.0006849315068493151,1995,male,caucasian,college
16,473,1,1.0,271,4.0,5.0,0.0,15.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,655953,3280,2020-11-19 15:31:52,3274.9800000019604,66.0,11.585365853658537,0,5.0,4.0,0,15.0,0.0,0,42.0,0.6,-0.2,12,0,0,1,1,0,1,0.0,0.016666666666666666,1995,male,caucasian,college
16,473,1,1.0,274,4.5,3.0,365.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,661522,2390,2020-11-19 15:31:52,2387.284999989788,90.0,13.807531380753138,1,4.5,3.0,0,365.0,1.0,1,43.0,-0.29411764705882354,0.5294117647058824,14,1,1,1,0,0,0,0.0,0.0013698630136986301,1995,male,caucasian,college
16,473,1,1.0,277,1.5,4.5,0.0,90.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,666321,1760,2020-11-19 15:31:52,1686.7600000114182,66.0,11.931818181818182,0,4.5,1.5,0,90.0,0.0,0,44.0,1.0,-0.2,9,0,0,0,1,0,0,1.0,0.022222222222222223,1995,male,caucasian,college
16,473,1,1.0,280,3.0,4.5,0.0,365.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,671151,1742,2020-11-19 15:31:52,1737.8350000071805,66.0,13.20321469575201,0,4.5,3.0,0,365.0,0.0,0,45.0,0.7777777777777778,-0.3333333333333333,6,0,0,1,1,0,1,0.0,0.0013698630136986301,1995,male,caucasian,college
16,473,1,1.0,283,3.5,4.0,0.0,180.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,676469,2081,2020-11-19 15:31:52,2077.5100000028037,66.0,11.532916866890918,0,4.0,3.5,0,180.0,0.0,0,46.0,0.8571428571428571,0.14285714285714285,10,0,0,1,2,0,1,0.3333333333333333,0.0007936507936507933,1995,male,caucasian,college
16,473,1,1.0,286,4.5,5.0,0.0,90.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,682775,3264,2020-11-19 15:31:52,3209.5899999985704,66.0,17.46323529411765,0,5.0,4.5,0,90.0,0.0,0,47.0,0.8571428571428571,0.0,37,0,0,1,4,0,0,0.6,0.0012345679012345685,1995,male,caucasian,college
